news, date 
Bloodbath on trade floor as PSX sheds 816 points,May 13 2019
Lack of US-China trade deal weighs on Asian markets,May 13 2019
Japanese indicator points to recession amid fresh Abenomics risks,May 13 2019
China says will ‘never surrender’ as US trade row heats up,May 13 2019
Oil prices up as Middle East tanker attacks heighten supply concerns,May 13 2019
Bitcoin holds above $7000 after hitting nine-month high,May 13 2019
Tense future for US-China ties with or without trade deal,May 13 2019
Meat-based alternatives gain new popularity,May 13 2019
Crisis-hit Greeks foot steep bills for health and education,May 13 2019
Afghan refugee entrepreneurs thrive in Turkey,May 13 2019
Private equity’s allure poses big risks for the stock market and its investors in the next recession,May 13 2019
As India votes parties court farmers with green promises,May 13 2019
Pre-Brexit rush by factories boosts UK economy in early 2019,May 13 2019
China steps up oversight of firms to strengthen market development,May 13 2019
Standing comt. approves amendments for regulating sugar mills,May 13 2019
Another 171 points ooze out of KSE-100,May 13 2019
US pushes for way to enforce China trade deal,May 13 2019
Most Asian markets up but traders on edge as tariffs are hiked,May 13 2019
Load shedding reduced during Ramzan,May 13 2019
KE’s TP-1000: underground transmission lines laid,May 13 2019
EFP welcomes FBR’s deadline notice on bank accounts of default taxpayers,May 10 2019
Overseas Pakistanis remit US $17.9 billion in the first ten months of FY19,May 10 2019
KSE-100 sheds 147 points in directionless trading session,May 10 2019
Port Qasim power plant added 10bn units to national grid in one year,May 10 2019
As trade truce collapses US and China scramble to revive a deal,May 10 2019
Budget 2019/20 should be based on ‘low-tax-rate’ long term growth,May 10 2019
US sanctions scare EU firms from Iran imperilling nuke deal,May 10 2019
Oil price rises after surprise fall in US crude inventories,May 10 2019
Uncertainty plunges stocks KSE 100 loses 596 points,May 10 2019
Asian markets resume downward spiral on growing trade fears,May 10 2019
China’s April exports fall amid US tariff war; imports rise,May 8 2019
As Uber gears up for IPO many Indian drivers talk of shattered dreams,May 8 2019
Hackers steal $41 million worth of bitcoin from Binance cryptocurrency exchange,May 8 2019
AOB introduces online registration for audit firms,May 8 2019
Oil price rises amid surging China crude imports,May 8 2019
PSX market remains dull on political jitters,May 8 2019
Appreciation Award 2019 by Pakistan-Malaysia Friendship Association,May 8 2019
Govt to exploit furniture sector to boost exports: PM Khan,May 8 2019
US refiners tap Iraq West Africa and Brazil for scarce crude supplies,May 8 2019
Sindh govt to collect data on child labour,May 8 2019
US: China reneged on trade commitments sparking Trump tariff hike,May 7 2019
Spice exports increase 14.65pc to $68.445 million,May 7 2019
Downward journey continues as PSX Index sheds 517 points,May 7 2019
Asian European markets dive on Trump threat of China tariffs,May 7 2019
Pakistan needs rapid pro-poor growth for economic uplift: analyst,May 7 2019
Trump threatens to hike tariffs on Chinese imports worth $200bn,May 7 2019
RCCI shows concern over growing economic uncertainty,May 7 2019
Survey shows eurozone economy lost more momentum in April,May 7 2019
Smart tech the new tool for African farmers,May 7 2019
Pakistan gets encouraged to use Yuan as other BRI countries,May 7 2019
Hitting the bottle: Trump’s trade battles slow Kentucky’s bourbon boom,May 6 2019
British PM tells Labour: ‘Let’s do a deal’ on Brexit,May 6 2019
Global institutions blamed for economic genocide,May 6 2019
PM will never tolerate underperformers: RITBA,May 6 2019
Continuous hike in POL prices rejected,May 6 2019
Deserted beaches empty rooms: Sri Lanka tourism takes a hit after bombings,May 6 2019
SBP to increase SMEs share in private sector credit to 17% by 2020: Shaukat Zaman,May 6 2019
Govt will provide grants to provinces if baselines fulfilled,May 6 2019
PSDP based on practical realistic development targets: Khusro Bakhtyar,May 6 2019
Carbon tax best way to cut greenhouse gas emissions: IMF,May 6 2019
Turkey expects US not to end preferential trade treatment,May 4 2019
Ecolean set to invest $110 million in ecofriendly packaging,May 4 2019
ExxonMobil sues Cuban companies for nationalized assets,May 4 2019
Canada vows to defends its business in Cuba as US opens way for lawsuits,May 4 2019
New banking-timings for Ramazan,May 4 2019
PSX Index closes at 3-yr low amid economic uncertainty,May 4 2019
Asian markets end week ‘mixed’ as investors eye US jobs data,May 4 2019
Air France loss widens due to higher fuel costs fierce competition,May 4 2019
ICCI terms Mohmand Dam positive development for economy,May 4 2019
PM briefs IsDB chief about govt policies,May 4 2019
Facebook considering its own bitcoin for payments,May 3 2019
PSX Index closes negative amid lackluster trading,May 3 2019
Hyundai dealership opens up in Lahore,May 3 2019
Hashoo Group launches country’s first premier Tourism and Hospitality Management School,May 3 2019
US Chinese negotiators hold ‘productive’ trade talks,May 3 2019
Female lorry drivers change gears in Ghana,May 3 2019
Oil falls on swelling US stockpiles Venezuela adds to market uncertainty,May 3 2019
M-Tag Registration: deadline extended up to June 12,May 3 2019
Apple magic extends global equities’ months-long rally,May 3 2019
Labour Day with no holiday for labour,May 3 2019
Bearish sentiment continues as investors await IMF deal,April 30 2019
Cheese fans raise a stink over plans for pasteurised camembert,April 30 2019
Danish fishing communities fear Brexit could sink them,April 30 2019
MCB partners with World Remit for digital money transfers to Pakistan,April 30 2019
Byco Petroleum earns gross profit of Rs 3 Billion,April 30 2019
Airbus keeps outlook as Q1 core earnings rise,April 30 2019
PSX fails to sustain gains sheds 105 points,April 30 2019
Saudi Arabia’s TAQA to acquire ‘Schlumberger’s drilling rigs business’,April 30 2019
K-Electric with China announces to develop 700MW power project,April 30 2019
Momentum announces Fintech Hackathon,April 30 2019
Master Motor & FOTON to manufacture vehicles in Pakistan,April 29 2019
Oil falls after Trump presses OPEC to make up for Iranian sanctions,April 29 2019
A roadmap to diversifying Pakistan’s exports: operationalizing the product space,April 29 2019
BRI: A ROAD MAP TO GLOBAL PROSPERITY,April 29 2019
China’s quest for clean limitless energy heats up,April 29 2019
US oil sanctions take effect on Venezuela as crisis intensifies,April 29 2019
