news,date
LHC verdict: SC adjourns hearing Meesha Shafi’s plea for one-week,15 hours ago
SC orders to restore Karachi Circular Railway within a month,15 hours ago
PPP senators demand resignation of Governor Sindh Imran Ismail,16 hours ago
Country going bankrupt because of PTI’s incompetence: Bilawal,16 hours ago
Petition filed against Maryam Nawaz’s appointment as party vice-president,17 hours ago
Over 3000 child sexual abuse cases registered in 2018: report,17 hours ago
Fake accounts case against Zardari Talpur adjourned till May 22,19 hours ago
Patients in limbo as protests against MTI continue,22 hours ago
Death toll from Data Darbar blast rises to 11,22 hours ago
Rain-thunderstorm forecast for northern Pakistan,22 hours ago
Nawaz Sharif’s bail plea hearing adjourned till June 19,22 hours ago
Tribal leader 3 others killed in Balochistan bombing,1 day ago
Being at the helm of affairs a cinch: PM,2 days ago
Nashwah case: Darul Sehat owners get pre-arrest bail,2 days ago
ASI killed two constables injured in Charsadda,2 days ago
Data Darbar attack: CCTV footage shows alleged suicide bomber,2 days ago
Asad Umar appointed chairman standing committee on finance,2 days ago
Zardari files bail plea before Islamabad High Court,2 days ago
Pakistan re-elected to UN ECOSOC,2 days ago
Afia Siddiqui ‘agrees’ to file appeal against conviction Senate told,2 days ago
LHC extends Hamza Shehbaz’s pre-arrest bail till May 22,2 days ago
Met Office forecasts a hot and dry Wednesday,2 days ago
Asia Bibi leaves Pakistan for Canada,2 days ago
Ten killed at least 20 injured in Lahore suicide bombing,2 days ago
Prime Minister Imran Khan attends NA session,2 days ago
Nawaz Sharif back at Kot Lakhpat but after bail expired,2 days ago
COAS visits COD appreciates efforts of safeguarding reviving ordinance for use,3 days ago
Madrasahs to work under Ministry of Education: Awan,3 days ago
Petition seeks to teach Christian students Bible in Islamabad schools,3 days ago
Dire economic conditions forced us to approach IMF: Shah Mehmood,3 days ago
SC orders verification of Al-Khair University degrees,3 days ago
IHC bars PEMRA from issuing new television licences,3 days ago
Christian prisoners to get religious education to earn commutation,3 days ago
“Ramazan Pakistan” to air on Hum News,3 days ago
Woman arrested for egg toss at Australia PM,3 days ago
Nashwah case: Owner of Dar-ul-Sehat Hospital escapes after court rejects bail plea,3 days ago
Pakistan doesn’t need additional taxes to cover revenue losses: WB,3 days ago
FIA arrests eight Chinese for fake marriages human trafficking,3 days ago
PAC chairman: Bilawal cross with PML-N for not consulting PPP,3 days ago
Met Office forecasts hot dry weather,3 days ago
Federation bankrupt because of 18th amendment: PM,4 days ago
Shabbar Zaidi appointed FBR chairman,4 days ago
Petition seeks to ban Shahid Afridi’s book,4 days ago
Patients suffer as doctors nurses paramedics take to the streets,4 days ago
Indians vote in fifth phase of election; violence in Kashmir,4 days ago
Cheating mafia outsmarts examiners in Karachi again,4 days ago
Met Office forecasts hot dry weather,4 days ago
Road accidents claim 12 lives 31 injured,4 days ago
Hot dry weather predicted in next 24 hours,5 days ago
Dr Raza Baqir appointed SBP governor,5 days ago
Ruet committee’s moon sighting meeting today,5 days ago
PM will perform groundbreaking of Al-Qadir University today,5 days ago
England Pakistan take guard for big summer of cricket,5 days ago
Child trafficking ring operating in Karachi: police,6 days ago
Cyclone Fani kills at least 12 dead in India before swiping Bangladesh,6 days ago
Governor SBP resigns FBR chairman removed,6 days ago
ECC approves increase in price of petroleum products,6 days ago
Foreign Minister Qureshi discusses 10 economic policy agenda,7 days ago
Pakistan will approach UN to declare BLA global terrorist outfit,7 days ago
Medicine prices to be brought down by May 20: Dr Zafar Mirza,7 days ago
Pakistan inflation eases to 8.82 percent in April: statistics bureau,7 days ago
Pakistan tops ICC men’s T20 ranking,7 days ago
Corps commanders reiterate to work for peace,7 days ago
Two accused in Nashwah Case flee after bail cancellation,7 days ago
NAB and corruption cannot work together: Javed Iqbal,7 days ago
Second polio case surfaces in Lahore within 24 hours,7 days ago
Punjab young doctors protest ‘privatisation’ of hospitals proposed law,7 days ago
Government focusing on macroeconomic policies: Abdul Hafeez Shaikh,7 days ago
Govt abolishes Neelum-Jhelum surcharge on electricity bills,7 days ago
SC rejects Nawaz Sharif’s petition for bail extension,7 days ago
Police baton charge protesting nurses arrest dozens in Karachi,1 week ago
Delicate balance to maintain with Iran: Shah Mehmood Qureshi,1 week ago
Messi doubling down on Champions League pledge for Barca,1 week ago
Prime Minister performs groundbreaking of Mohmand Dam,1 week ago
