news,date
Ali Malik to Contest from NA-127 after Maryam Disqualification,10 months ago
PML-N to Take Legal Constitutional Course over Nawaz Conviction: Kh Asif,10 months ago
Nawaz Sharif Sentenced to Prison in Avenfield Properties Case,10 months ago
15 killed 25 Injured in Road Accident in Nawabshah,10 months ago
MMA Out to Serve Masses: Liaqat Baloch,10 months ago
Court Rejects Sharifs’ Plea to Postpone Verdict in Avenfield Reference,10 months ago
Amid Heavy Downpour Risk of Water-borne Diseases High in Punjab,10 months ago
Ring of Pakistan: Foreign wrestlers love paan and mango lassi,10 months ago
PML-N Senator Zafar Ali Shah joins PTI,10 months ago
CEO BOL Network Shoaib Shaikh sentenced 7 years in jail,10 months ago
LHC Sets Aside Tribunal Verdict Disqualifying Abbasi,10 months ago
NAB Arrest Fawad Hassan Fawad in Ashiana Iqbal Scandal,10 months ago
ECP Declares 20789 Polling Stations Across Country as Sensitive,10 months ago
Taliban Commander Killed in US Drone Attack in Miramshah,10 months ago
SC Set to Hear Important Cases Today,10 months ago
Polls Indicates PTI Gains Ground in Pakistan Election Race,10 months ago
Nawaz wants delay in announcement of Avenfield verdict,10 months ago
IHC Rejects Petition Seeking to Bar Shahid Khaqan from Poll Contest,10 months ago
Bilawal Promises to Accomplish Benazir’s Mission,10 months ago
SC Restrains Govt from Transferring DG FIA Bashir Memon,10 months ago
SC to Hear Kalabagh Dam Other Cases Today,10 months ago
Roof collapse in Lahore’s Johar Town kills two,10 months ago
Record rains turn Lahore roads into rivers six dead,10 months ago
Verdict in Avenfield reference to be announced on July 6,10 months ago
SC Disqualifies PPP’s Bibi Yasmeen Shah under Article 62 (1) (f),10 months ago
ECP Approves Another Round of Shakeup in Punjab Sindh Bureaucracy,10 months ago
Contempt Petition Against Abbasi Sent to CJ for Larger Bench,10 months ago
SC Set to Hear Important Cases Today,10 months ago
IHC Reserves Verdict on Bukhari’s Plea Against Blacklisting,10 months ago
Pakistan Committed to End Regional Conflict: Ali Jahangir,10 months ago
COAS signs death warrant of 12 hardcore terrorists,10 months ago
Three Day Anti-polio Drive Starts in Balochistan,10 months ago
LHC Adjourns Hearing of Contempt Case Against Ahsan Iqbal till September 5,10 months ago
ECP Rejects MQP’s Petition to Delay General Elections,10 months ago
SC Allows PML-N Candidate Bilal Kayani from NA-66 to Contest Polls,10 months ago
MQP to file Fresh Petition in ECP Seeking Delay in Polls Today,10 months ago
PM Mulk extends Afghan refugees stay for 3 months,10 months ago
Election 2018: ECP releases final list of polling stations,10 months ago
Put back on terror-financing watch list Pakistan vows to improve,10 months ago
76 candidates in the run for 3 Islamabad NA seats,10 months ago
LHC allows Abbasi to contest polls from NA-57 Murree,10 months ago
Another Ex PML-N MNA held for contempt of court,10 months ago
SC to hear important cases today,10 months ago
Plant trees just don’t forget to water them,11 months ago
Bilawal presents PPP’s election 2018 manifesto,11 months ago
ECP rejects plea to bar Akram Durrani from contesting polls,11 months ago
PPP to launch its election manifesto today,11 months ago
SC convicts Danyal Aziz for contempt of court,11 months ago
Justice Yahya Afridi takes oath as SC judge,11 months ago
Abbasi decides to challenge disqualification,11 months ago
COAS gives go ahead to Army’s deployment in elections,11 months ago
Maryam Nawaz changes constituency yet again,11 months ago
ECP Rejects PTI Demand Seeking Extension in Polling Time,11 months ago
Abbasi Fawad Chaudhry Barred from Contesting July 25 Polls,11 months ago
National Security Advisor Nasir Janjua Resigns,11 months ago
Tribunal Clears Imran to Contest from NA-243 Karachi,11 months ago
July-25 Elections: ECP to Start Printing of Ballot Papers from July 1,11 months ago
SC to Hear Important Cases Today,11 months ago
Pakistan’s First Visually Impaired Judges Swears In,11 months ago
